X,Y,ID,UMKM,KEC.,USAHA,TK_TETAP,TK_LEPAS,IJIN,PEMASARAN,PEMASARA_1,JUMLAH PEM,OMZET,LONG,LAT
306870.313570277,9154907.42045899,5580,SARINEM,Kroya,Bahan Pokok,2,0,SIUP/TDP,296456,0,296456,296456,109.249208100000004,-7.641813337000000
308497.404197228,9159171.9457358,5581,BISRI,Kroya,Tas Snack,3,0,,296000,0,296000,296000,109.264109000000005,-7.603315022000000
305057.340304133,9156090.53006261,5582,CIPTA RASA,Kroya,Kerupuk Tengiri,3,0,,295400,0,295400,295400,109.232822100000007,-7.631049453000000
308206.646539619,9157798.33260456,5583,PARYATI,Kroya,Bahan Pokok,2,0,SIUP/TDP,294000,0,294000,294000,109.261424199999993,-7.615724036000000
303003.141427888,9155464.65018261,5585,SLAMET SUTIKNO,Kroya,Tahu,3,0,,288000,0,288000,288000,109.214183199999994,-7.636631719000000
302131.594732984,9155926.45183901,5586,JUMONO,Kroya,Tempe,3,0,,288000,0,288000,288000,109.206302500000007,-7.632423734000000
302783.605952164,9155176.66413347,5589,M. AZIZ,Kroya,Meja Al-Qur'an,3,0,,284520,0,284520,284520,109.212182900000002,-7.639227252000000
304535.381617239,9155147.51437658,5591,BASUKI,Kroya,"Tempat Pensil, Tempat Tisu",3,0,,278100,0,278100,278100,109.228056899999999,-7.639556233000000
308310.749256542,9156474.31518281,5593,WAHIDIN,Kroya,Tahu,3,0,,274739,0,274739,274739,109.262319300000001,-7.627698963000000
304624.266566173,9156649.28481405,5598,SOLEH,Kroya,Kue Cumi dan Cheese Stik,3,0,,266810,0,266810,266810,109.228918300000004,-7.625981488000000
303198.782867018,9158492.26014853,5602,SARIJO,Kroya,Bahan Pokok,5,0,SIUP/TDP,261000,0,261000,261000,109.216069500000003,-7.609265508000000
300864.88222365,9156311.44648504,5603,WASIKUN,Kroya,Kesed,3,0,,260750,0,260750,260750,109.194838099999998,-7.628895135000000
302786.024780193,9158731.49015222,5604,SYAHARI MUKHTAR,Kroya,Wooden Box/Lunch Box,372,0,"IUP, TDP, SIUP, HO",260000,0,260000,260000,109.212338200000005,-7.607087153000000
301318.107324501,9157043.93758523,5605,CHUNAINI,Kroya,Kripik Buah,5,0,P-IRT,257233,0,257233,257233,109.198972900000001,-7.622289650000000
305672.091830114,9153514.49703033,5607,PKK Ds. PESAWAHAN,Kroya,Bunga Acrilic,2,0,,257233,0,257233,257233,109.238297599999996,-7.654363144000000
308332.638015739,9159305.80953441,5608,EKO SUROSO SE,Kroya,Kue Cumi,4,0,P-IRT,257005,0,257005,257005,109.262620799999993,-7.602098711000000
310627.263865057,9154478.44976915,5612,DULAH KASAN WARSO,Kroya,Bahan Pokok,8,0,SIUP/TDP,249400,0,249400,249400,109.283240199999995,-7.645828659000000
310555.99064556,9156414.96141882,5614,HADI WARSONO,Kroya,Perajin Tahu,1,0,,244800,0,244800,244800,109.282664199999999,-7.628316887000000
305572.071962771,9158955.51941354,5615,SRI LESTARI,Kroya,Lanting,2,0,,243200,0,243200,243200,109.237592599999999,-7.605164952000000
304083.119734798,9154859.5564799,5616,SAMIJO,Kroya,Warung Rokok,5,0,,240205,0,240205,240205,109.223947600000002,-7.642142920000000
302634.53659994,9156525.11919906,5622,WARSO,Kroya,VCO,2,0,P-IRT,238080,0,238080,238080,109.210882699999999,-7.627029908000000
301438.69046047,9158299.69794969,5623,MA'MUN HIDAYAT,Kroya,Telor Asin Cup,3,0,,238070,0,238070,238070,109.200113000000002,-7.610940583000000
302192.656098028,9157237.38726616,5624,MARYOTO,Kroya,Asbak,3,0,,235712,0,235712,235712,109.206905199999994,-7.620573528000000
302852.72056449,9157656.27030117,5625,DARTO MIHARJO,Kroya,Perajin Tempe,5,0,,233280,0,233280,233280,109.212902299999996,-7.616811020000000
308025.35686911,9159069.44855596,5627,AGUS KUSMO,Kroya,Aneka Krupuk Ikan Tengiri,3,0,,227500,0,227500,227500,109.259827700000002,-7.604224617000000
303403.931393778,9157542.41435923,5632,NONO,Kroya,Ind. Kesed Sabut Kelapa,16,0,SIUP/TDP,222700,0,222700,222700,109.217893000000004,-7.617861009000000
303884.850121561,9153686.57229273,5642,MUGI HARTONO,Kroya,Tahu,2,0,,216000,0,216000,216000,109.222106900000000,-7.652740852000000
303055.661134156,9155050.66376212,5645,PENI RIYANTI,Kroya,Bahan Pokok,2,0,SIUP/TDP,215550,0,215550,215550,109.214643600000002,-7.640376657000000
306470.407482372,9158650.05920336,5647,WIDIANTORO,Kroya,Suku Cadang Sparepart,2,1,,210000,0,210000,210000,109.245721799999998,-7.607959756000000
307345.818824641,9156044.0611349,5648,MUHARIL,Kroya,Perajin Tempe,5,0,,206064,0,206064,206064,109.253559100000004,-7.631553877000000
